Location,Slot,Star,Pokemon
Route 3,1,1,Meowth-Galar
Route 3,2,1,Fletchling
Route 3,3,1,NidoranM
Route 3,4,1,Capsakid
Route 3,5,1,Tandemaus
Route 4,1,1,Pawmi
Route 4,2,1,Tatsugiri
Route 4,3,1,Pansear
Route 4,4,1,Pansage
Route 4,5,1,Panpour
Mt. Moon,1,1,Cetoddle
Mt. Moon,2,1,Cufant
Mt. Moon,3,1,Lunatone
Mt. Moon,4,1,Magnemite
Mt. Moon,5,1,Varoom
Route 24,1,1,Shroodle
Route 24,2,1,Abra
Route 24,3,1,Charcadet
Route 24,4,1,Applin
Route 24,5,1,Lotad
Route 25,1,1,Tadbulb
Route 25,2,1,Psyduck
Route 25,3,1,Klawf
Route 25,4,1,Milcery
Route 25,5,1,Clauncher
Route 5,1,1,Hatenna
Route 5,2,1,Flamigo
Route 5,3,1,Flittle
Route 5,4,1,Rhyhorn
Route 5,5,1,Oricorio
Route 6,1,1,Applin
Route 6,2,1,Litleo
Route 6,3,1,Mienfoo
Route 6,4,1,Blitzle
Route 6,5,1,Squawkabilly-G
Route 11,1,1,Scraggy
Route 11,2,1,Veluza
Route 11,3,1,Drowzee
Route 11,4,1,Misdreavus
Route 11,5,1,Swadloon
Diglett Cave,1,1,Gligar
Diglett Cave,2,1,Sandile
Diglett Cave,3,1,Stonjourner
Diglett Cave,4,1,Misdreavus
Diglett Cave,5,1,Klink
Route 2,1,2,Pinsir
Route 2,2,2,Koffing
Route 2,3,2,Impidimp
Route 2,4,2,Shellos-East
Route 2,5,2,Spritzee
Route 9,1,2,Shelmet
Route 9,2,2,Electrode-Hisui
Route 9,3,2,Falinks
Route 9,4,2,Turtonator
Route 9,5,2,Tangela
Route 10,1,2,Zorua-Hisui
Route 10,2,2,Zorua
Route 10,3,2,Eevee
Route 10,4,2,Heracross
Route 10,5,2,Toxel
Rock Tunnel,1,2,Delibird
Rock Tunnel,2,2,Tinkatuff
Rock Tunnel,3,2,Ferroseed
Rock Tunnel,4,2,Sandshrew-Alola
Rock Tunnel,5,2,Orthworm
Route 16,1,2,Porygon
Route 16,2,2,Passimian
Route 16,3,2,Oranguru
Route 16,4,2,Cramorant
Route 16,5,2,Kleavor
Route 8,1,2,Venipede
Route 8,2,2,Girafarig
Route 8,3,2,Yanma
Route 8,4,2,Drampa
Route 8,5,2,Basculegion
Route 12,1,2,Corsola-Galar
Route 12,2,2,Slowpoke-Galar
Route 12,3,2,Sliggoo-Hisui
Route 12,4,2,Luvdisc
Route 12,5,2,Tauros
Viridian Forest,1,3,Gourgeist-Su
Viridian Forest,2,3,Golurk
Viridian Forest,3,3,Granbull
Route 13,1,3,Indeedee
Route 13,2,3,Duraludon
Route 13,3,3,Qwilfish-Hisui
Route 13,4,3,Breloom
Route 13,5,3,Torkoal
Mt. Moon,1,3,Regirock
Mt. Moon,2,3,Registeel
Mt. Moon,3,3,Regice
Route 14,1,3,Pelipper
Route 14,2,3,Amoonguss
Route 14,3,3,Sneasel-Hisui
Route 14,4,3,Dedenne
Route 14,5,3,Weezing-Galar
Route 15,1,3,Sigilyph
Route 15,2,3,Exploud
Route 15,3,3,Dusclops
Route 15,4,3,Persian-Alola
Route 15,5,3,Pincurchin
Pokemon Mansion,1,4,Floatzel
Pokemon Mansion,2,4,Magcargo
Pokemon Mansion,3,4,Noctowl
Route 2,1,4,Entei
Route 2,2,4,Suicune
Route 2,3,4,Raikou
Route 16,1,4,Zygarde-10
Route 16,2,4,Diancie
Route 16,3,4,Pecharunt
Route 10,1,4,Azelf
Route 10,2,4,Mesprit
Route 10,3,4,Uxie
Route 25,1,4,Necrozma
Route 25,2,4,Calyrex
Route 25,3,4,Celebi
Safari Zone Far-western Area,1,4,Munkidori
Safari Zone Far-western Area,2,4,Fezandipiti
Safari Zone Far-western Area,3,4,Okidogi
Power Plant,1,4,Dracozolt
Power Plant,2,4,Arctozolt
Power Plant,3,4,Heliolisk
Seafoam Islands,1,4,Dracovish
Seafoam Islands,2,4,Arctovish
Seafoam Islands,3,4,Basculegion
Cerulean Cave,1,4,Xurkitree
Cerulean Cave,2,4,Stakataka
Cerulean Cave,3,4,Guzzlord
Route 13,1,5,Victini
Route 13,2,5,Volcanion
Route 13,3,5,Cresselia
Viridian Forest,1,5,Flutter Mane
Viridian Forest,2,5,Zarude
Viridian Forest,3,5,Shaymin
Rock Tunnel,1,5,Iron Boulder
Rock Tunnel,2,5,Iron Leaves
Rock Tunnel,3,5,Iron Crown
Pokemon Mansion,1,5,Spectrier
Pokemon Mansion,2,5,Hoopa
Pokemon Mansion,3,5,Regidrago
Power Plant,1,5,Zeraora
Power Plant,2,5,Iron Valiant
Power Plant,3,5,Regieleki
Seafoam Islands,1,5,Dracovish
Seafoam Islands,2,5,Arctovish
Seafoam Islands,3,5,Glastrier
Cerulean Cave,1,5,Buzzwole
Cerulean Cave,2,5,Xurkitree
Cerulean Cave,3,5,Stakataka
Cerulean Cave,4,5,Guzzlord
Cerulean Cave,5,5,Nihilego
Victory Road,1,5,Meloetta
Victory Road,2,5,Genesect
Victory Road,3,5,Jirachi
Viridian Forest,1,6,Tapu Bulu
Mt. Moon,1,6,Regigigas
Pokemon Mansion,1,6,Tapu Lele
Power Plant,1,6,Tapu Koko
Seafoam Islands,1,6,Kyurem
Seafoam Islands,2,6,Tapu Fini
Seafoam Islands,3,6,Manaphy
Cerulean Cave,1,6,Blacephalon
Cerulean Cave,2,6,Kartana
Cerulean Cave,3,6,Poipole
Cerulean Cave,4,6,Pheromosa
Cerulean Cave,5,6,Celesteela
Victory Road,1,6,Zygarde
